Year,Estimated RND Percent Small,Estimated RND Percent Large,Small Revenue %,Large Revenue %
2008,64.24811379489368,35.75188620510632,76.00910784516664,23.990892154833368
2009,66.52685024789439,33.473149752105606,81.99430758661302,18.00569241338699
2010,68.68826078178991,31.3117392182101,77.8086190806633,22.1913809193367
2011,59.14091407484455,40.85908592515544,70.46455191540994,29.535448084590048
2012,46.10842198241845,53.89157801758155,76.96839471799373,23.031605282006275
2013,45.17975578180954,54.82024421819046,66.41940183898089,33.58059816101912
2014,48.66915002884358,51.33084997115641,76.91693148141536,23.08306851858464
2015,49.61207070600247,50.38792929399752,44.38510199158335,55.614898008416645
2016,44.640007440034935,55.359992559965065,86.49934876264903,13.500651237350967
2017,43.22207182965373,56.77792817034627,68.96977979314843,31.03022020685157
2018,41.62027236120826,58.37972763879174,56.403362024088096,43.5966379759119
2019,40.757840017039825,59.242159982960175,36.99413846195402,63.00586153804597
2020,29.009558450240252,70.99044154975975,26.987611729653445,73.01238827034656
2021,17.479028729612327,82.52097127038766,31.348564938185312,68.6514350618147
2022,30.099184036711307,69.9008159632887,81.16614774969422,18.833852250305778
2023,38.87878271436616,61.12121728563383,33.930792355746334,66.06920764425365
2024,38.32260805731141,61.67739194268859,35.31532059547533,64.68467940452467
2025,40.228558033531414,59.771441966468586,81.86682550693168,18.13317449306833
